Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
DMP,Dermapharm Holding SE,Health Care,Germany,XTRA,2616.66,46.54,-45.45,-44.89,-28.72,65.84,,,18.31,,,55.21,62.93,68.16,69.24,69.40,36.79,43.01,,4.66,18.78,15.93,18.02,16.11,13.23,,111.18,56.74,37.97,28.38,27.80,,34.44,27.16,27.44,25.00,19.69,,144.20,64.77,40.65,22.25,220.00,,,,,,,,-108.61,-69.36,-31.39,29.36,-17.04,
TLG,TLG Immobilien AG,Real Estate,Germany,HMSE,2858.74,24.20,-19.33,-15.09,,,,,,,,28.89,,,,,43.42,44.23,6.18,4.21,-17.24,-7.12,1.86,11.29,11.17,1.47,-15.19,-5.13,7.10,13.92,12.80,9.39,-17.84,-6.38,4.91,12.58,12.39,4.40,-35.89,-26.12,0.74,27.35,19.86,32.65,,,,,,,0.77,0.21,17.26,27.79,24.44,13.59
AIXA,AIXTRON SE,Information Technology,Germany,XTRA,2867.30,24.47,38.54,38.93,5.94,197.03,315.61,121.43,43.60,32.92,8.27,21.94,20.64,20.80,21.24,20.86,47.10,52.75,-0.13,1.23,59.32,28.54,16.86,16.90,12.02,-3.48,219.22,68.31,33.97,38.30,10.20,-1.10,67.63,29.20,15.56,26.09,23.94,-2.40,174.26,70.69,27.77,31.84,6.27,1.86,,,,,,,22.75,15.48,13.40,12.30,5.81,-0.75
FLW1,Flughafen Wien Aktiengesellschaft,Industrials,Austria,DB,2890.42,32.45,21.54,20.63,9.63,-15.93,0.27,387.06,-5.61,0.05,17.14,27.21,27.19,27.55,27.63,28.09,36.28,44.72,,,21.66,-31.15,-20.13,-11.33,-6.09,-3.68,-59.75,-49.17,-33.13,-19.58,-8.46,-6.33,692.90,-54.96,-39.70,-26.73,-16.17,-10.22,-105.13,-84.67,-69.92,-48.45,-35.73,-19.23,,,,,,,0.68,-3.47,-0.03,2.98,1.49,2.75
ECV,Encavis AG,Utilities,Germany,XTRA,2969.42,17.72,15.62,15.84,9.23,173.04,,,39.64,,,18.12,17.04,16.91,16.64,16.44,41.71,47.32,-9.31,1.69,13.82,9.82,8.43,14.38,,,20.53,6.56,4.39,9.59,,,14.39,9.08,7.27,13.78,,,352.06,70.35,99.85,48.23,,,,,,,,,164.60,106.07,96.34,81.63,,
FNTN,freenet AG,Communication Services,Germany,XTRA,2972.51,23.94,9.39,9.07,27.98,56.87,14.30,275.29,16.15,2.71,14.13,24.21,23.92,23.59,23.01,22.73,27.71,34.21,3.73,6.56,-0.74,-6.54,-4.00,-5.38,-2.38,-2.37,11.24,4.31,0.82,1.35,-0.21,4.38,0.39,-1.67,-2.17,-1.69,1.51,1.55,-64.98,1.89,-3.88,-2.80,-3.12,3.26,,,,,,,250.21,-41.19,-32.51,-18.35,-3.45,-7.48
TUI1,TUI AG,Consumer Discretionary,Germany,XTRA,2985.60,1.60,-40.71,-42.04,-55.31,-62.17,-71.26,-13.24,-27.61,-22.05,-1.41,2.59,2.66,2.78,2.97,3.28,54.34,63.15,-50.36,,-40.44,-50.00,-36.49,-22.71,-17.72,-12.25,-25.02,105.91,40.26,23.60,15.77,20.89,-28.68,-12.19,-17.80,-10.21,-9.62,-4.83,-21.64,143.41,50.26,18.92,60.38,58.99,,,,,,,16.88,315.07,278.38,44.60,15.70,13.48
NDA,Aurubis AG,Materials,Germany,XTRA,3027.32,66.40,-23.44,-25.20,-13.67,65.07,8.11,123.01,18.13,1.57,8.34,97.56,94.78,89.11,86.71,85.24,42.25,49.69,0.00,2.41,31.17,17.07,16.08,11.48,5.47,2.04,94.38,80.18,34.29,37.86,40.72,5.59,34.29,25.89,23.46,14.25,12.45,5.89,131.09,78.38,28.29,38.13,46.34,5.10,,,,,,,22.43,15.06,10.25,11.51,9.04,6.34
B4B,Metro AG,Consumer Staples,Germany,XTRA,3033.55,8.00,-13.23,-14.57,-23.26,-43.50,,,-17.29,,,8.22,8.71,9.33,9.66,9.77,33.29,41.08,,,-3.38,-4.37,-2.59,-7.49,-6.27,,-2.47,-32.06,-20.87,-14.61,-14.84,,-3.05,-4.29,-2.16,-9.56,-7.51,,-112.17,-58.30,-44.80,-35.61,4.92,,,,,,,,-15.19,-20.32,-29.28,-17.60,27.84,
LXS,LANXESS Aktiengesellschaft,Materials,Germany,XTRA,3104.08,34.46,-34.93,-34.31,-39.11,-29.69,-43.23,-18.88,-11.05,-10.69,-2.07,40.65,45.18,48.35,50.88,52.56,42.21,54.14,,3.05,23.80,5.40,3.46,-0.37,-0.82,-1.48,27.89,-4.24,-4.33,-0.16,3.54,-5.05,18.57,2.33,1.91,0.91,2.06,-0.85,-69.83,14.12,-14.75,6.82,28.17,-6.19,,,,,,,-8.37,16.83,7.60,-8.30,-4.45,-2.22
