Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
002584,Xilong Scientific Co. Ltd.,Materials,China,SZSE,670.35,7.74,-26.98,-43.50,26.47,54.80,-45.42,119.00,15.66,-11.39,8.15,8.64,8.87,8.28,7.95,7.62,68.43,66.17,,,9.52,43.13,26.79,18.48,17.60,18.23,90.43,10.82,12.21,6.61,4.86,4.85,17.70,1.58,0.91,4.41,5.61,8.97,258.47,130.04,42.42,16.07,14.81,9.50,,,,,,,14.36,10.56,12.53,2.44,9.38,6.75
002585,Jiangsu Shuangxing Color Plastic New Materials Co. Ltd.,Materials,China,XSEC,3488.36,20.61,-22.29,-21.94,1.86,315.23,,,60.66,,,17.17,20.11,21.53,21.87,20.87,58.54,57.00,0.05,1.46,17.19,15.16,15.42,18.37,14.74,11.73,92.19,175.60,63.86,63.13,54.95,14.23,70.73,85.12,42.84,43.05,38.25,15.00,92.28,182.59,62.76,59.78,45.49,13.72,,,,,,,13.49,9.92,6.22,11.88,8.77,9.60
002586,Zhejiang Reclaim Construction Group Co. Ltd.,Industrials,China,XSEC,745.09,4.40,22.91,23.25,52.25,17.23,-53.04,,5.44,-13.42,,4.20,3.95,3.62,3.45,3.30,43.20,43.98,-0.09,,20.00,-13.36,-10.00,3.31,5.01,7.09,-2690.17,26.54,-12.71,4.43,1.91,6.44,131.79,-6.79,-11.80,5.32,1.91,5.85,-93.33,-86.94,-52.34,-21.71,-17.13,-9.56,,,,,,,-1.51,-2.88,-10.38,15.08,11.55,15.59
002587,Shenzhen AOTO Electronics Co. Ltd.,Information Technology,China,SZSE,447.68,4.69,-12.86,-13.80,-7.78,-20.47,-32.07,189.35,-7.34,-7.44,11.20,4.57,4.84,4.74,4.75,4.73,50.63,53.27,-6.29,1.07,17.85,-11.93,-15.01,16.14,14.82,15.42,-145.20,-81.58,-66.73,-36.48,-27.11,-13.07,16.18,-25.72,-17.14,4.00,6.59,11.28,-122.16,-56.86,-42.64,-17.04,-9.33,0.10,,,,,,,2.48,4.18,5.75,12.57,11.42,10.06
002588,Stanley Agriculture Group Co.Ltd.,Materials,China,XSEC,1179.66,6.89,16.97,18.17,20.00,50.78,-1.27,,14.66,-0.26,,6.61,6.34,6.22,6.19,6.03,45.90,50.79,,1.02,4.01,5.51,4.17,0.63,1.87,3.49,-3.40,92.08,24.58,-8.11,-6.16,1.46,4.60,16.50,4.92,-3.91,0.02,7.02,47.81,98.15,30.38,-3.67,-2.15,5.65,,,,,,,5.17,6.23,4.98,4.62,7.84,9.35
002589,Realcan Pharmaceutical Group Co. Ltd.,Health Care,China,XSEC,1014.31,4.58,16.54,-7.66,6.26,-39.18,-71.82,,-15.26,-22.36,,4.16,4.07,3.97,3.98,4.07,55.68,72.96,0.00,,-22.67,-22.72,-14.69,6.16,15.27,20.75,-42.80,-43.20,-33.26,-3.08,14.70,19.40,-22.94,-25.02,-16.26,9.17,27.04,30.50,-49.80,-62.40,-44.59,-25.99,-4.49,4.55,,,,,,,1.95,6.50,8.93,4.09,21.38,23.80
002590,Zhejiang VIE Science & Technology Co. Ltd.,Consumer Discretionary,China,XSEC,567.17,7.99,-23.68,-20.13,3.02,8.85,-44.82,,2.87,-11.20,,7.71,8.36,8.16,8.11,7.96,50.70,54.99,-0.70,1.06,7.58,9.83,6.36,3.98,10.81,10.48,-102.70,-57.91,-71.70,-57.59,-41.77,-28.95,-7.43,1.50,-6.34,-4.21,3.82,5.03,-65.98,-58.56,-12.17,-29.66,-16.14,-6.72,,,,,,,-0.19,0.78,3.11,1.97,16.21,13.22
002591,Jiangxi Hengda Hi-Tech Co.Ltd.,Materials,China,SZSE,366.53,8.25,44.74,44.99,47.58,-2.37,-36.54,75.92,-0.79,-8.68,5.80,5.48,5.50,5.42,5.42,5.51,50.64,66.36,0.07,,66.16,18.18,16.37,29.05,11.00,7.21,-452.23,-58.47,-20.86,-21.00,12.15,-9.19,4.34,-25.30,-13.24,22.19,4.93,0.68,-103.62,-53.37,-19.24,5.42,20.99,-9.95,,,,,,,2.60,-0.26,4.51,1.79,0.60,0.83
002592,Nanning Baling Technology Co. Ltd.,Consumer Discretionary,China,SZSE,195.00,4.71,-35.39,-32.71,-52.62,-67.96,-82.60,-32.32,-31.55,-29.48,-3.82,5.09,5.78,6.14,6.69,6.50,51.25,44.09,-1.91,,0.73,-9.92,-4.97,-7.05,-0.67,1.94,-12.32,23.16,27.11,-1.19,-0.16,-2.01,-27.96,-16.11,-1.92,-13.47,-10.18,-4.83,-102.35,-80.09,30.35,-33.98,-22.34,-14.67,,,,,,,3.46,-17.85,-28.30,-19.88,-8.75,1.66
002593,Xiamen Sunrise Group Co. Ltd.,Consumer Discretionary,China,SZSE,403.30,3.39,-15.94,-14.05,-7.82,-5.93,-31.02,34.92,-2.01,-7.15,3.04,3.45,3.62,3.70,3.75,3.73,39.49,44.60,-12.45,1.47,26.47,19.72,9.19,21.71,15.94,11.34,4.09,4.80,10.95,11.34,6.63,1.84,20.12,2.39,1.66,9.39,6.84,4.81,36.59,13.34,9.05,8.98,15.11,1.78,,,,,,,19.13,10.55,7.44,5.34,10.29,6.97
