Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
ABXX,Abaxx Technologies Inc.,Information Technology,Canada,NEOE,62.18,1.10,-69.44,-66.46,-72.50,,,,,,,1.55,2.08,2.42,,,52.22,59.42,-31.65,,,,,,,,88.60,18.15,48.42,,,,101.42,26.13,95.54,,,,27.15,19.08,41.90,,,,,,,,,,97.44,1198.38,83.70,,,
AC,Air Canada,Industrials,Canada,TSX,4644.82,16.85,-20.26,-26.26,-32.55,-60.70,-18.24,1568.32,-26.71,-3.94,32.45,21.05,21.60,22.03,22.47,23.12,42.49,47.78,-8.30,,9.72,-42.16,-29.16,-15.30,-9.89,-5.78,-21.20,38.45,28.78,17.82,24.47,35.05,-56.66,-75.32,-58.95,-38.08,-24.84,-18.04,-22.49,56.22,360.02,32.68,66.86,30.32,,,,,,,61.37,489.51,19.24,48.92,13.26,-0.80
ACB,Aurora Cannabis Inc.,Health Care,Canada,TSX,410.62,1.78,-74.01,-74.28,-80.76,-98.38,-93.48,,-74.61,-42.02,,3.36,4.36,5.46,6.11,6.85,84.59,102.13,-27.41,,-8.73,-0.06,64.40,179.45,,,-39.68,-4.07,51.23,127.07,126.29,,8.14,-61.10,-20.88,57.82,,,-78.87,53.73,112.84,161.04,127.66,,,,,,,,-1.85,23.67,9.89,167.27,139.13,
ACCBP,Aardvark 2 Capital Corp.,Financials,Canada,TSXV,0.56,0.2200,,,,,,,,,,,,,,,114.22,114.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACD,Accord Financial Corp.,Financials,Canada,TSX,58.63,8.92,8.09,9.39,4.99,4.56,21.44,87.10,1.49,3.95,6.44,8.64,8.57,8.50,8.54,8.49,19.93,19.99,,2.80,56.64,13.83,10.61,13.14,8.86,6.18,,,,,,,56.64,13.83,10.61,13.14,8.86,6.18,2753.14,35.82,4.70,12.60,8.13,4.60,,,,,,,14.12,5.35,5.31,3.20,5.84,5.97
ACME,ACME Lithium Inc.,Materials,Canada,CNSX,27.66,0.69,-28.13,-28.87,-25.81,,,,,,,1.09,1.06,1.06,1.08,,82.27,96.85,-24.18,,-23.95,-30.82,,-43.14,,,354.00,83.51,93.92,67.23,,,-19.81,-23.40,,-44.47,,,135.04,24.63,3.12,33.94,,,,,,,,,-467.48,123.06,114.32,80.54,,
ACOG,Alpha Cognition Inc.,Health Care,Canada,TSXV,33.27,0.71,-34.26,-33.02,-23.66,,,,,,,0.82,0.90,0.98,1.04,1.03,97.57,70.20,-41.69,,,,,,,,92.81,46.81,,,,,-41.30,,,,,,237.90,72.00,,,,,,,,,,,-1268.38,37.06,,,,
ACOX,ATCO Ltd.,Utilities,Canada,TSX,3984.67,45.51,8.87,13.00,7.75,17.29,10.32,66.33,5.45,1.98,5.21,44.23,43.46,42.91,42.80,43.04,15.16,13.87,0.14,4.00,8.75,-4.53,-4.26,1.18,-0.85,0.72,-5.39,-15.22,-5.73,-5.37,-2.53,-1.26,4.82,-6.49,-8.94,-0.99,-0.37,1.10,-2.38,-30.75,-9.14,-6.27,-7.36,-2.81,,,,,,,0.03,0.46,3.07,2.33,2.95,6.29
ACP,ArcPacific Resources Corp.,Materials,Canada,TSXV,2.51,0.0500,11.11,-9.09,-37.50,66.67,25.00,,18.40,4.55,,0.0496,0.0510,0.0557,0.0725,0.0763,118.06,140.35,-26.60,,,,,,,,-6.28,39.50,36.32,6.05,-21.39,12.46,,,,,,,-42.86,10.82,19.16,54.57,-25.46,8.86,,,,,,,34.92,415.76,91.27,110.55,46.42,26.76
ACQ,AutoCanada Inc.,Consumer Discretionary,Canada,TSX,515.40,25.48,-40.33,-34.68,-44.34,154.01,50.91,139.29,36.37,8.56,9.10,29.17,31.93,34.20,37.06,38.58,51.72,52.81,4.84,,39.76,15.70,13.88,9.98,11.19,16.51,280.03,62.65,64.09,19.21,13.64,21.08,52.41,20.92,17.98,11.40,12.18,17.30,-2302.64,140.66,24.01,129.20,17.49,16.14,,,,,,,26.72,14.43,28.18,23.56,44.52,8.58
ACRGAU,Acreage Holdings Inc.,Health Care,United States,CNSX,92.94,0.60,-63.64,-60.53,-83.70,,,,,,,1.18,1.31,1.50,1.80,2.20,81.75,93.06,0.36,,64.88,59.64,107.55,118.74,,,-89.78,-71.34,-29.17,49.91,,,95.05,77.47,116.72,141.67,,,-78.01,-35.25,31.86,100.47,,,,,,,,,-51.14,54.91,-41.29,9.08,,
