Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
5202,Nippon Sheet Glass Company Limited,Industrials,Japan,TSE,244.42,372.00,-27.49,-31.24,-41.05,-47.90,-60.33,-47.63,-19.47,-16.86,-6.26,405.36,441.03,476.26,498.91,523.95,38.41,41.92,0.00,,20.30,3.91,-0.67,0.67,-0.61,0.84,-24288.37,138.47,-12.56,-8.78,-0.28,23.68,15.61,0.42,-5.54,-2.24,-1.78,0.24,-124.42,-53.26,-32.24,-5.91,13.84,3.92,,,,,,,-88.56,-61.36,-36.21,-23.94,-15.16,-11.02
5204,Ishizuka Glass Co. Ltd.,Materials,Japan,TSE,48.68,1611.00,-18.33,-22.44,-12.33,-20.64,-19.34,40.10,-7.39,-4.20,3.43,1844.08,1908.97,1963.27,1971.45,1963.16,25.13,23.62,,2.79,6.84,-3.00,-0.85,-0.52,2.00,2.00,206.33,2.30,3.51,-2.16,18.61,15.14,15.77,-4.08,-0.85,-1.82,5.13,3.36,-174.56,38.21,14.85,9.18,18.09,18.52,,,,,,,9.66,0.73,0.84,3.98,5.33,4.38
5208,Arisawa Mfg. Co. Ltd.,Information Technology,Japan,TSE,239.53,1000.00,11.19,4.12,24.97,34.59,39.50,592.07,10.37,6.88,21.32,998.99,996.99,977.30,963.98,957.73,27.44,28.39,0.16,9.50,-7.21,-3.18,-1.24,4.58,1.97,4.47,6.51,11.61,2.63,13.16,2.43,9.22,9.18,5.78,2.19,8.02,3.12,13.02,81.06,329.51,10.98,13.94,-2.94,20.90,,,,,,,3.08,1.70,-1.83,0.65,0.69,3.56
5210,Nihon Yamamura Glass Co. Ltd.,Materials,Japan,TSE,48.36,656.00,-11.65,-14.71,-23.47,-45.73,-56.13,-45.72,-18.37,-15.18,-5.92,775.04,780.52,802.07,828.45,846.22,28.60,32.65,,3.05,12.52,-2.31,-2.91,-1.34,-1.24,-0.98,-99.64,-74.71,-62.64,-61.67,-46.96,-38.68,45.12,-2.40,-2.92,-4.15,-0.57,-1.45,81.65,699.46,287.40,46.79,8.59,25.76,,,,,,,-18.74,-14.19,-10.82,-7.12,-5.50,-2.74
5212,Fuji Glass Co. Ltd.,Materials,Japan,TSE,14.29,963.00,-28.86,-29.54,-31.14,71.47,110.88,211.10,19.59,16.07,12.00,950.92,1063.25,1154.12,1232.78,1302.08,60.41,29.22,,0.78,2.29,2.89,1.62,-0.74,-0.83,0.14,-26.47,46.38,40.57,1.10,-9.17,-0.89,-6.99,3.66,4.48,1.20,-1.40,0.31,-16.88,17.95,-17.75,2.71,-5.34,3.58,,,,,,,-4.14,2.14,3.04,4.57,4.05,4.80
5214,Nippon Electric Glass Co. Ltd.,Information Technology,Japan,TSE,1733.81,2582.00,-10.50,-8.64,7.86,7.44,-25.26,75.85,2.41,-5.65,5.80,2685.27,2758.23,2763.78,2699.95,2694.24,27.14,23.94,,4.65,20.23,6.56,-0.93,4.05,1.93,,97.29,45.32,9.25,12.15,42.21,,59.85,22.77,7.03,9.81,12.73,,82.95,-8.96,22.45,41.22,19.76,,,,,,,,4.95,2.70,0.38,-0.28,-0.59,
5216,Kuramoto Co. Ltd.,Information Technology,Japan,TSE,31.75,130.00,1.56,2.36,-17.20,16.07,-44.44,2.36,5.07,-11.08,0.23,131.76,130.11,134.53,138.23,141.63,34.03,39.36,,,-15.01,-20.06,-33.83,-26.22,-21.82,-22.47,50.00,-41.55,-28.70,-4.53,-17.55,-1.89,-52.48,50.70,-35.99,-38.06,-31.73,-24.69,47.98,-61.73,-22.60,2.90,47.82,0.21,,,,,,,-163.30,-46.19,-63.37,-49.11,-36.26,-26.21
5217,Techno Quartz Inc.,Information Technology,Japan,TSE,155.76,27900.00,-27.17,-28.55,-8.85,367.71,331.01,812.99,66.92,33.89,24.72,34929.00,34266.33,33516.95,32839.04,32200.73,42.21,54.83,,1.79,23.68,31.98,20.15,18.92,17.30,12.90,29.30,49.32,24.29,34.34,46.54,21.95,24.89,35.61,19.41,20.76,18.98,13.48,36.99,48.92,23.75,31.90,49.47,18.18,,,,,,,22.71,18.35,15.16,13.76,10.43,9.95
5218,Ohara Inc.,Information Technology,Japan,TSE,210.05,1195.00,-2.85,6.13,-14.57,-18.83,-1.91,92.94,-6.69,-0.38,6.79,1185.10,1190.46,1254.36,1284.04,1322.96,42.91,42.85,,1.26,31.60,0.24,-5.89,1.98,-0.75,-1.96,-179.35,23.22,-25.22,56.87,43.35,-1.83,81.56,-3.87,-11.31,4.94,3.80,-1.05,-134.41,77.00,-23.18,31.45,88.92,5.36,,,,,,,10.86,-2.23,-3.40,1.39,-0.17,-0.12
5232,Sumitomo Osaka Cement Co. Ltd.,Materials,Japan,TSE,858.04,3470.00,-0.10,0.19,17.61,-7.18,-26.85,65.30,-2.44,-6.06,5.15,3400.85,3455.23,3422.07,3352.23,3323.52,36.23,40.10,9.92,3.46,-23.01,-13.32,-9.81,-4.68,-3.39,-1.63,-58.64,-34.69,-21.42,-20.40,-15.42,-1.67,-17.53,-9.74,-5.77,-5.96,-4.33,-0.54,-17.45,-5.89,7.45,-9.81,-4.48,10.25,,,,,,,-1.55,0.98,1.38,0.58,2.01,4.58
