Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
A000590,CS Holdings Co. Ltd.,Industrials,South Korea,KOSE,51.31,59400.00,-7.33,-8.62,-14.48,-3.32,-26.03,87.78,-1.12,-5.85,6.50,65793.00,65007.33,64548.50,64907.20,66500.33,29.20,34.90,3.10,0.84,20.80,8.54,9.07,5.25,1.68,3.76,24.23,7.43,13.83,-0.19,-0.94,5.23,23.50,11.32,12.87,4.10,2.60,7.69,92.00,17.53,32.71,9.70,10.36,2.22,,,,,,,6.77,5.22,6.35,4.18,4.88,3.92
A000650,Chunil Express Co. Ltd.,Industrials,South Korea,KOSE,69.90,63400.00,-5.79,-3.50,-10.94,-0.66,-7.43,328.60,-0.22,-1.53,15.65,64971.00,64933.33,65711.50,66940.40,68285.33,17.59,17.47,,3.94,-5.83,-29.85,-19.60,-12.86,-9.75,-5.65,-1.52,319.00,63.65,55.55,20.74,25.30,13.05,-27.44,-13.27,-16.04,-12.72,-5.72,-91.60,-11.34,39.94,-25.65,-26.30,-14.41,,,,,,,-5.43,-16.40,-16.98,-1.70,-3.69,-1.45
A000680,LS Networks Corporation Limited,Consumer Discretionary,South Korea,KOSE,150.47,2650.00,-11.96,-12.54,-45.36,-17.83,-15.06,-38.34,-6.33,-3.21,-4.72,3399.55,3317.30,3337.32,3516.06,3527.87,55.00,62.30,,,16.61,-1.54,-4.33,-4.32,-11.90,-1.50,-113.93,-53.09,5.92,-40.38,8.49,2.51,31.59,2.32,-5.89,-5.11,-12.28,-7.00,-343.58,-6.82,54.48,-7.17,88.52,11.22,,,,,,,12.36,3.34,-4.58,-1.62,-4.50,-3.44
A000890,Bohae Brewery Co. Ltd.,Consumer Staples,South Korea,KOSE,78.00,726.00,-19.78,-19.60,-36.32,-40.73,-36.32,-27.04,-15.99,-8.62,-3.10,866.28,872.53,897.53,939.24,980.13,30.12,30.80,,,6.60,4.97,0.70,-6.23,-5.28,-4.32,-39.58,-73.84,-54.33,-29.22,-25.12,-26.43,11.34,98.63,9.89,-8.19,-6.81,-5.61,-152.93,-78.79,-68.05,-33.94,-21.64,-42.98,,,,,,,7.19,5.09,6.83,-0.66,0.87,5.17
A000950,Chonbang Co. Ltd.,Consumer Discretionary,South Korea,KOSE,48.86,55500.00,38.06,38.75,48.79,228.40,141.26,137.35,48.59,19.24,9.02,47988.50,45146.00,44124.25,43214.00,42760.50,34.88,41.04,,,27.19,-1.37,-3.61,-7.81,-8.30,-7.96,-140.99,-50.87,-5.48,-10.01,-5.95,-11.37,-202.02,-22.91,71.54,41.38,99.61,0.78,-97.29,-93.70,-80.98,-60.63,-51.00,-42.19,,,,,,,2.64,4.76,4.87,-2.27,-2.40,-4.49
A000970,Korea Cast Iron Pipe Ind. Co. Ltd.,Industrials,South Korea,KOSE,134.94,8120.00,-10.77,-11.55,-14.38,-32.99,-9.22,206.48,-12.48,-1.91,11.84,9353.70,9211.60,9349.20,9507.00,9597.77,26.16,26.67,,4.93,22.28,,,,,,224.57,,,,,,40.97,,,,,,413.08,,,,,,,,,,,,23.42,,,,,
A001040,CJ Corporation,Industrials,South Korea,KOSE,1937.29,77700.00,-6.83,-5.13,-20.58,-14.98,-55.58,12.34,-5.26,-14.97,1.17,82768.00,82726.00,86185.50,89221.60,92119.00,24.99,24.03,,2.96,7.77,1.04,5.31,7.56,8.43,10.02,36.78,11.85,12.20,8.65,9.96,7.72,12.72,3.05,5.12,5.40,6.86,7.79,217.34,1.45,-0.13,4.28,3.99,-2.90,,,,,,,-12.31,-18.74,-7.44,-3.11,11.65,12.70
A001080,Manho Rope & Wire Co. Ltd.,Materials,South Korea,KOSE,52.40,22300.00,-2.35,-1.28,-0.63,27.96,20.23,55.30,8.56,3.75,4.50,24821.50,23997.33,23397.00,23197.60,23211.17,30.79,33.81,,0.90,-0.15,-3.17,-3.05,-1.81,-3.72,-1.22,-443.17,-3.61,-14.23,-25.22,-15.44,-22.25,13.92,8.86,0.42,-4.92,-4.04,-7.39,-31.91,-9.93,-31.34,-26.43,-22.75,-23.88,,,,,,,0.71,0.77,0.56,0.67,1.04,1.66
A001120,LX International Corp.,Industrials,South Korea,KOSE,822.51,29600.00,11.91,13.41,3.66,82.63,12.76,-3.36,22.21,2.43,-0.34,34705.00,31706.67,30941.75,30596.40,30801.50,44.90,45.77,1.22,7.77,47.90,25.88,18.66,6.88,5.63,1.78,299.40,119.37,57.67,31.50,23.39,14.59,84.52,37.62,23.87,12.62,15.30,7.94,17.64,250.01,70.71,43.19,59.74,3.52,,,,,,,59.38,51.86,59.56,27.56,7.41,2.10
A001130,Daehan Flour Mills Co.Ltd,Consumer Staples,South Korea,KOSE,186.71,145000.00,-6.15,-5.23,-15.78,-23.36,-15.75,50.01,-8.48,-3.37,4.13,167540.00,163060.00,162275.00,163846.00,165993.33,36.60,46.37,,1.72,14.54,9.09,8.73,6.60,3.56,3.99,7.73,2.60,-9.28,-10.98,-10.33,15.73,5.87,4.98,4.42,2.55,1.31,9.32,319.78,126.80,19.31,26.24,13.14,31.39,,,,,,,12.91,7.98,5.37,5.88,5.16,4.50
